barcode,first_type,second_type,celltype1,celltype2,x,y,prop1,prop2
embryo1_Pos5_cell334_z2,0,15,Cranial-mesoderm,Neural-crest,0.240167477,-2.224463537,1,0
embryo1_Pos5_cell334_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.207866128,-1.857956089,1,0
embryo1_Pos5_cell335_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.233120326,-1.886243059,1,0
embryo1_Pos5_cell335_z5,15,14,Neural-crest,Forebrain-Midbrain-Hindbrain,0.217371091,-1.553969661,1,0
embryo1_Pos5_cell336_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.230594113,-1.659784582,1,0
embryo1_Pos5_cell337_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.218216948,-1.826941651,1,0
embryo1_Pos5_cell338_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.226745955,-1.658235929,1,0
embryo1_Pos5_cell339_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.221481636,-1.695433565,1,0
embryo1_Pos5_cell34_z2,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,-0.262421273,-2.327820144,1,0
embryo1_Pos5_cell34_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,-0.256221874,-2.310779577,1,0
embryo1_Pos5_cell340_z5,3,14,Low-quality,Forebrain-Midbrain-Hindbrain,0.21546829,-1.946156592,1,0
embryo1_Pos5_cell341_z5,14,15,Forebrain-Midbrain-Hindbrain,Neural-crest,0.230680026,-1.581724635,1,0
embryo1_Pos5_cell343_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.234427121,-1.795718013,1,0
embryo1_Pos5_cell343_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.231519932,-1.770921463,1,0
embryo1_Pos5_cell345_z2,18,15,Surface-ectoderm,Neural-crest,0.250223847,-2.490109537,1,0
embryo1_Pos5_cell346_z2,14,15,Forebrain-Midbrain-Hindbrain,Neural-crest,0.24885865,-1.582012086,1,0
embryo1_Pos5_cell346_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.24148449,-1.87882959,1,0
embryo1_Pos5_cell347_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.25452405,-1.631863465,1,0
embryo1_Pos5_cell347_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.236727936,-1.910600769,1,0
embryo1_Pos5_cell348_z2,18,15,Surface-ectoderm,Neural-crest,0.264708696,-2.455508052,1,0
embryo1_Pos5_cell348_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.258827639,-1.523128022,1,0
embryo1_Pos5_cell349_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.248564359,-1.80375373,1,0
embryo1_Pos5_cell35_z2,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,-0.263033388,-2.261918242,1,0
embryo1_Pos5_cell35_z5,5,14,Spinal-cord,Forebrain-Midbrain-Hindbrain,-0.263479724,-2.17351216,1,0
embryo1_Pos5_cell350_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.261738319,-1.764854939,1,0
