barcode,zscore
embryo1_Pos10_cell79_z2,-0.544328652
embryo1_Pos10_cell79_z5,0.975384552
embryo1_Pos10_cell83_z5,1.478933801
embryo1_Pos10_cell84_z5,-0.544328652
embryo1_Pos10_cell85_z5,-0.544328652
embryo1_Pos10_cell89_z2,1.0601816
embryo1_Pos10_cell92_z5,-0.544328652
embryo1_Pos10_cell94_z5,-0.544328652
embryo1_Pos10_cell95_z2,1.024149897
embryo1_Pos10_cell95_z5,-0.544328652
embryo1_Pos10_cell96_z2,1.368850879
embryo1_Pos10_cell99_z2,-0.544328652
embryo1_Pos10_cell99_z5,1.005626014
embryo1_Pos21_cell155_z2,-0.544328652
embryo1_Pos21_cell22_z5,-0.544328652
embryo1_Pos21_cell278_z2,1.644338561
embryo1_Pos21_cell50_z5,-0.544328652
embryo1_Pos23_cell318_z2,-0.544328652
embryo1_Pos27_cell119_z5,-0.544328652
embryo1_Pos27_cell130_z5,-0.544328652
embryo1_Pos27_cell136_z2,1.155683668
embryo1_Pos27_cell163_z2,-0.544328652
embryo1_Pos27_cell177_z5,1.648216147
embryo1_Pos27_cell245_z5,-0.544328652
embryo1_Pos27_cell248_z2,1.690906992
embryo1_Pos27_cell262_z5,-0.544328652
embryo1_Pos27_cell29_z5,-0.544328652
embryo1_Pos27_cell298_z2,-0.544328652
embryo1_Pos27_cell36_z5,-0.544328652
embryo1_Pos27_cell488_z2,-0.544328652
embryo1_Pos27_cell516_z2,1.21191682
embryo1_Pos27_cell63_z5,-0.544328652
embryo1_Pos27_cell85_z5,-0.544328652
embryo1_Pos28_cell103_z2,-0.544328652
embryo1_Pos28_cell11_z5,-0.544328652
embryo1_Pos28_cell110_z2,-0.544328652
embryo1_Pos28_cell115_z2,1.388943472
embryo1_Pos28_cell117_z2,1.652125278
embryo1_Pos28_cell124_z2,-0.544328652
embryo1_Pos28_cell129_z2,1.213491338
embryo1_Pos28_cell130_z2,-0.544328652
embryo1_Pos28_cell131_z2,1.516047261
embryo1_Pos28_cell144_z5,-0.544328652
embryo1_Pos28_cell157_z2,-0.544328652
embryo1_Pos28_cell163_z2,-0.544328652
embryo1_Pos28_cell189_z5,-0.544328652
embryo1_Pos28_cell207_z5,1.670112688
embryo1_Pos28_cell218_z5,-0.544328652
embryo1_Pos28_cell230_z5,-0.544328652
embryo1_Pos28_cell233_z5,-0.544328652
embryo1_Pos28_cell25_z2,1.090694703
embryo1_Pos28_cell251_z5,-0.544328652
embryo1_Pos28_cell258_z5,-0.544328652
embryo1_Pos28_cell264_z5,1.722342925
embryo1_Pos28_cell312_z2,-0.544328652
embryo1_Pos28_cell326_z2,-0.544328652
embryo1_Pos28_cell328_z2,-0.544328652
embryo1_Pos28_cell34_z5,1.239424995
embryo1_Pos28_cell349_z2,-0.544328652
embryo1_Pos28_cell356_z2,1.424420075
embryo1_Pos28_cell361_z2,-0.544328652
embryo1_Pos28_cell37_z5,0.926235554
embryo1_Pos28_cell38_z5,-0.544328652
embryo1_Pos28_cell40_z2,1.114335307
embryo1_Pos28_cell401_z2,-0.544328652
embryo1_Pos28_cell406_z2,-0.544328652
embryo1_Pos28_cell422_z2,-0.544328652
embryo1_Pos28_cell425_z2,-0.544328652
embryo1_Pos28_cell43_z5,1.275773654
embryo1_Pos28_cell47_z2,-0.544328652
embryo1_Pos28_cell47_z5,1.106739064
embryo1_Pos28_cell50_z5,-0.544328652
embryo1_Pos28_cell52_z2,-0.544328652
embryo1_Pos28_cell54_z2,1.256386728
embryo1_Pos28_cell55_z5,1.244450033
embryo1_Pos28_cell56_z5,-0.544328652
embryo1_Pos28_cell57_z2,-0.544328652
embryo1_Pos28_cell57_z5,1.069357818
embryo1_Pos28_cell60_z2,-0.544328652
embryo1_Pos28_cell62_z5,-0.544328652
embryo1_Pos28_cell65_z2,1.476193603
embryo1_Pos28_cell67_z2,-0.544328652
embryo1_Pos28_cell67_z5,-0.544328652
embryo1_Pos28_cell69_z2,-0.544328652
embryo1_Pos28_cell75_z2,-0.544328652
embryo1_Pos28_cell77_z2,-0.544328652
embryo1_Pos28_cell78_z2,-0.544328652
embryo1_Pos28_cell79_z5,-0.544328652
embryo1_Pos28_cell84_z5,1.802550962
embryo1_Pos28_cell89_z2,-0.544328652
embryo1_Pos28_cell90_z2,1.05453767
embryo1_Pos28_cell96_z2,-0.544328652
