barcode,zscore
embryo1_Pos7_cell22_z5,-0.544328652
embryo1_Pos7_cell23_z2,1.490053318
embryo1_Pos7_cell27_z2,-0.544328652
embryo1_Pos7_cell28_z2,1.429354383
embryo1_Pos7_cell29_z2,-0.544328652
embryo1_Pos7_cell3_z2,1.575976087
embryo1_Pos7_cell3_z5,-0.544328652
embryo1_Pos7_cell30_z2,1.719332088
embryo1_Pos7_cell31_z2,1.223050408
embryo1_Pos7_cell31_z5,1.386668896
embryo1_Pos7_cell32_z5,-0.544328652
embryo1_Pos7_cell34_z2,-0.544328652
embryo1_Pos7_cell34_z5,-0.544328652
embryo1_Pos7_cell37_z5,-0.544328652
embryo1_Pos7_cell38_z5,-0.544328652
embryo1_Pos7_cell41_z2,-0.544328652
embryo1_Pos7_cell45_z2,-0.544328652
embryo1_Pos7_cell45_z5,-0.544328652
embryo1_Pos7_cell46_z5,-0.544328652
embryo1_Pos7_cell47_z2,-0.544328652
embryo1_Pos7_cell48_z2,-0.544328652
embryo1_Pos7_cell48_z5,-0.544328652
embryo1_Pos7_cell49_z2,-0.544328652
embryo1_Pos7_cell49_z5,-0.544328652
embryo1_Pos7_cell5_z5,-0.544328652
embryo1_Pos7_cell50_z2,1.270407174
embryo1_Pos7_cell53_z2,1.431840464
embryo1_Pos7_cell53_z5,1.299754448
embryo1_Pos7_cell54_z2,-0.544328652
embryo1_Pos7_cell54_z5,-0.544328652
embryo1_Pos7_cell55_z5,1.395832345
embryo1_Pos7_cell56_z5,-0.544328652
embryo1_Pos7_cell57_z2,-0.544328652
embryo1_Pos7_cell57_z5,-0.544328652
embryo1_Pos7_cell58_z2,1.284854435
embryo1_Pos7_cell58_z5,-0.544328652
embryo1_Pos7_cell6_z2,1.43937702
embryo1_Pos7_cell6_z5,-0.544328652
embryo1_Pos7_cell60_z5,1.382151989
embryo1_Pos7_cell61_z5,-0.544328652
embryo1_Pos7_cell62_z2,-0.544328652
embryo1_Pos7_cell64_z5,-0.544328652
embryo1_Pos7_cell65_z2,1.600060781
embryo1_Pos7_cell65_z5,1.543515078
embryo1_Pos7_cell67_z5,-0.544328652
embryo1_Pos7_cell68_z2,-0.544328652
embryo1_Pos7_cell69_z2,-0.544328652
embryo1_Pos7_cell69_z5,-0.544328652
embryo1_Pos7_cell7_z2,1.929659258
embryo1_Pos7_cell7_z5,-0.544328652
embryo1_Pos7_cell71_z5,-0.544328652
embryo1_Pos7_cell72_z2,1.693035708
embryo1_Pos7_cell72_z5,-0.544328652
embryo1_Pos7_cell73_z2,-0.544328652
embryo1_Pos7_cell74_z2,1.144657785
embryo1_Pos7_cell74_z5,-0.544328652
embryo1_Pos7_cell75_z2,1.740024044
embryo1_Pos7_cell76_z2,-0.544328652
embryo1_Pos7_cell77_z5,1.275773654
embryo1_Pos7_cell79_z2,-0.544328652
embryo1_Pos7_cell79_z5,-0.544328652
embryo1_Pos7_cell8_z2,-0.544328652
embryo1_Pos7_cell8_z5,-0.544328652
embryo1_Pos7_cell80_z2,1.4522058
embryo1_Pos7_cell80_z5,1.449612664
embryo1_Pos7_cell81_z2,1.335087594
embryo1_Pos7_cell85_z2,1.345384927
embryo1_Pos7_cell88_z2,-0.544328652
embryo1_Pos7_cell88_z5,-0.544328652
embryo1_Pos7_cell89_z2,-0.544328652
embryo1_Pos7_cell9_z2,1.510149266
embryo1_Pos7_cell9_z5,-0.544328652
embryo1_Pos7_cell93_z5,-0.544328652
embryo1_Pos7_cell94_z2,-0.544328652
embryo1_Pos8_cell279_z5,-0.544328652
embryo1_Pos8_cell297_z2,1.081090118
embryo1_Pos8_cell300_z5,1.261595982
embryo1_Pos8_cell301_z5,-0.544328652
embryo1_Pos8_cell305_z5,-0.544328652
embryo1_Pos8_cell312_z5,-0.544328652
embryo1_Pos8_cell317_z5,1.706007544
embryo1_Pos8_cell318_z5,-0.544328652
embryo1_Pos8_cell321_z2,1.572630468
embryo1_Pos8_cell329_z5,-0.544328652
